borough,room_type,listing_count,total_revenue,avg_revenue,avg_revenue_active,active_rate,avg_calendar_occupancy,revenue_share_pct,active_rate_pct,cumulative_share_pct
Manhattan,Entire home/apt,6138,151840724.0,24737.81753014011,53054.061495457725,0.4662756598240469,0.3025629695095006,39.0,46.6,39.0
Brooklyn,Entire home/apt,3582,75054685.0,20953.290061418204,43891.62865497076,0.47738693467336685,0.3664004956288291,19.28,47.7,58.28
Brooklyn,Private room,3520,51600730.0,14659.298295454546,31734.766297662976,0.46193181818181817,0.3354420921544209,13.25,46.2,71.53
Manhattan,Private room,3004,49407427.0,16447.212716378162,37658.099847560974,0.4367509986684421,0.3728024734144428,12.69,43.7,84.22
Queens,Private room,2121,25563329.0,12052.488920320604,25013.04207436399,0.48184818481848185,0.33179877674655917,6.57,48.2,90.79
Queens,Entire home/apt,1361,19829011.0,14569.44232182219,33494.95101351351,0.43497428361498897,0.2947228568840397,5.09,43.5,95.88
Bronx,Private room,502,3529381.0,7030.639442231076,17386.113300492612,0.4043824701195219,0.2672215248594662,0.91,40.4,96.79
Bronx,Entire home/apt,322,3090149.0,9596.73602484472,24920.5564516129,0.38509316770186336,0.25499872373011145,0.79,38.5,97.58
Manhattan,Hotel room,346,2626711.0,7591.6502890173415,30902.482352941177,0.24566473988439305,0.17671232876712328,0.67,24.6,98.25
Staten Island,Private room,159,1684641.0,10595.22641509434,25917.553846153845,0.4088050314465409,0.26163522012578616,0.43,40.9,98.68
Manhattan,Shared room,51,1612419.0,31616.058823529413,100776.1875,0.3137254901960784,0.2782164920762826,0.41,31.4,99.09
Brooklyn,Shared room,94,1152200.0,12257.446808510638,37167.74193548387,0.32978723404255317,0.18440687846109005,0.3,33.0,99.39
Staten Island,Entire home/apt,134,957111.0,7142.619402985075,16791.42105263158,0.4253731343283582,0.28184420363933754,0.25,42.5,99.64
Queens,Shared room,42,695183.0,16551.97619047619,40893.117647058825,0.40476190476190477,0.3515981735159817,0.18,40.5,99.82
Queens,Hotel room,91,511613.0,5622.120879120879,26927.0,0.2087912087912088,0.28180039138943247,0.13,20.9,99.95
Brooklyn,Hotel room,43,97168.0,2259.720930232558,9716.8,0.23255813953488372,0.23778273335457153,0.02,23.3,99.97
Staten Island,Shared room,3,46140.0,15380.0,23070.0,0.6666666666666666,0.29954337899543376,0.01,66.7,99.98
Bronx,Shared room,2,0.0,0.0,,0.0,0.5273972602739726,0.0,0.0,99.98
