review_year,Bronx,Brooklyn,Manhattan,Queens,Staten Island
2009,0.0,20.0,21.0,0.0,0.0
2010,0.0,210.0,180.0,15.0,0.0
2011,0.0,854.0,624.0,27.0,5.0
2012,3.0,1430.0,1418.0,179.0,16.0
2013,24.0,2557.0,2571.0,533.0,31.0
2014,117.0,5036.0,4753.0,1166.0,45.0
2015,267.0,9772.0,9295.0,2468.0,168.0
2016,775.0,16993.0,13863.0,4232.0,387.0
2017,1309.0,23984.0,17359.0,6145.0,565.0
2018,2183.0,32957.0,23179.0,10440.0,917.0
2019,2931.0,42636.0,29197.0,15560.0,1235.0
2020,1395.0,15908.0,11902.0,6753.0,712.0
2021,2600.0,32454.0,27066.0,12884.0,1592.0
2022,5162.0,55874.0,40607.0,25139.0,2401.0
2023,5983.0,59663.0,49682.0,30360.0,2566.0
2024,3074.0,42473.0,46313.0,20217.0,1175.0
2025,3497.0,48075.0,55718.0,23623.0,1266.0
2026,1353.0,17519.0,26174.0,8301.0,419.0
