host_id,listing_count,host_revenue,revenue_rank,cumulative_revenue,cumulative_pct
714408607,7,471583.0,1,471583.0,6.72
563069592,8,390472.0,2,862055.0,12.29
703317541,12,328873.0,3,1190928.0,16.97
726809828,8,297308.0,4,1488236.0,21.21
561031867,5,277756.0,5,1765992.0,25.17
546657469,4,252774.0,6,2018766.0,28.77
571615601,8,248225.0,7,2266991.0,32.31
675221668,3,231099.0,8,2498090.0,35.6
712930458,2,169265.0,9,2667355.0,38.02
545604918,7,168618.0,10,2835973.0,40.42
549437827,5,168331.0,11,3004304.0,42.82
448514816,1,162088.0,12,3166392.0,45.13
650573439,6,146796.0,13,3313188.0,47.22
576845958,5,145892.0,14,3459080.0,49.3
650015634,4,138320.0,15,3597400.0,51.27
724169825,1,130491.0,16,3727891.0,53.13
550751207,1,129540.0,17,3857431.0,54.98
726702167,4,128572.0,18,3986003.0,56.81
713667722,6,127533.0,19,4113536.0,58.63
650340917,5,127330.0,20,4240866.0,60.44
730065979,6,118642.0,21,4359508.0,62.13
722997828,8,116573.0,22,4476081.0,63.79
546315187,4,114545.0,23,4590626.0,65.43
680991617,1,111552.0,24,4702178.0,67.02
690722890,1,99195.0,25,4801373.0,68.43
571612776,5,96272.0,26,4897645.0,69.8
734570452,7,89653.0,27,4987298.0,71.08
651519038,2,86752.0,28,5074050.0,72.32
584269688,3,82411.0,29,5156461.0,73.49
555538068,1,81466.0,30,5237927.0,74.65
563245673,2,81090.0,31,5319017.0,75.81
651521635,2,81090.0,31,5400107.0,76.96
734862602,3,80553.0,33,5480660.0,78.11
417712739,1,75555.0,34,5556215.0,79.19
577725937,2,70125.0,35,5626340.0,80.19
555687103,14,70062.0,36,5696402.0,81.19
45600001,3,62767.0,37,5759169.0,82.08
584022815,2,61623.0,38,5820792.0,82.96
718488963,2,55695.0,39,5876487.0,83.75
116325061,1,54802.0,40,5931289.0,84.53
724163945,2,53273.0,41,5984562.0,85.29
543460585,1,50898.0,42,6035460.0,86.02
60637082,2,49540.0,43,6085000.0,86.73
733455032,3,48519.0,44,6133519.0,87.42
725695483,2,47531.0,45,6181050.0,88.09
542325136,6,46419.0,46,6227469.0,88.76
571614644,4,44700.0,47,6272169.0,89.39
732603145,5,44193.0,48,6316362.0,90.02
71402182,1,43860.0,49,6360222.0,90.65
688681842,3,40925.0,50,6401147.0,91.23
583132277,1,40581.0,51,6441728.0,91.81
545605779,2,40467.0,52,6482195.0,92.39
726701186,2,39214.0,53,6521409.0,92.94
544554359,3,38899.0,54,6560308.0,93.5
652606311,1,38786.0,55,6599094.0,94.05
726179105,5,36985.0,56,6636079.0,94.58
551692065,1,36720.0,57,6672799.0,95.1
595011883,2,33492.0,58,6706291.0,95.58
727534791,7,32818.0,59,6739109.0,96.05
539261524,4,28620.0,60,6767729.0,96.46
746976833,3,28249.0,61,6795978.0,96.86
563449119,3,25128.0,62,6821106.0,97.22
27673980,1,24735.0,63,6845841.0,97.57
555479658,3,24429.0,64,6870270.0,97.92
738671460,1,21789.0,65,6892059.0,98.23
579647764,1,18744.0,66,6910803.0,98.49
569229318,1,17820.0,67,6928623.0,98.75
720701969,2,12637.0,68,6941260.0,98.93
744388448,2,12428.0,69,6953688.0,99.11
547551734,5,11661.0,70,6965349.0,99.27
723860544,1,11261.0,71,6976610.0,99.43
730369535,1,10975.0,72,6987585.0,99.59
558544893,4,9208.0,73,6996793.0,99.72
726846020,2,6903.0,74,7003696.0,99.82
726155140,1,4745.0,75,7008441.0,99.89
719352558,6,4434.0,76,7012875.0,99.95
332113448,1,3552.0,77,7016427.0,100.0
25138314,1,0.0,78,7016427.0,100.0
393211065,1,0.0,78,7016427.0,100.0
514336590,2,0.0,78,7016427.0,100.0
546474620,10,0.0,78,7016427.0,100.0
547407759,1,0.0,78,7016427.0,100.0
547413854,6,0.0,78,7016427.0,100.0
547422647,9,0.0,78,7016427.0,100.0
551573831,2,0.0,78,7016427.0,100.0
557255644,5,0.0,78,7016427.0,100.0
562034626,1,0.0,78,7016427.0,100.0
563633164,1,0.0,78,7016427.0,100.0
571613167,4,0.0,78,7016427.0,100.0
572476912,7,0.0,78,7016427.0,100.0
572829186,7,0.0,78,7016427.0,100.0
577004595,2,0.0,78,7016427.0,100.0
656284518,2,0.0,78,7016427.0,100.0
723176048,7,0.0,78,7016427.0,100.0
724033385,1,0.0,78,7016427.0,100.0
724362729,9,0.0,78,7016427.0,100.0
725003609,4,0.0,78,7016427.0,100.0
726207836,6,0.0,78,7016427.0,100.0
726475637,5,0.0,78,7016427.0,100.0
726828779,1,0.0,78,7016427.0,100.0
732092326,2,0.0,78,7016427.0,100.0
744405674,1,0.0,78,7016427.0,100.0
754528456,2,0.0,78,7016427.0,100.0
754579027,1,0.0,78,7016427.0,100.0
